"spo","meanW_rpomAlone","semW_rpomAlone","meanW_vib","semW_vib","meanW_mari","semW_mari","meanW_CC","semW_CC","gene","funct","NCBI","Vib_fold_diff","Mari_fold_diff","CC_fold_diff"
"SPO2576",1.2,0.089,1.2,0.084,1.1,0.075,1.2,0.068,"SPO2576","transcriptional regulator, TetR family","SPO_RS13070",0,-0.12,0
"SPO2577",1.1,0.084,1.1,0.061,1.1,0.12,1.1,0.064,"SPO2577","hypothetical protein","SPO_RS13075",0,0,0
"SPO2578",0.011,0.011,0.22,0.081,0.074,0.074,0.12,0.083,"ilvB","acetolactate synthase, large subunit, biosynthetic type","SPO_RS13080",3.5,2,2.6
"SPO2579",0.98,0.033,1,0.036,0.99,0.01,1,0.011,"ilvN","acetolactate synthase, small subunit","SPO_RS13085",0.029,0.014,0.029
"SPO2580",1,0.13,1.2,0.15,0.87,0.3,1.2,0.025,"SPO2580","hypothetical protein","SPO_RS22255",0.26,-0.2,0.26
"SPO2581",1.1,0.078,1.1,0.054,1.1,0.063,1.2,0.037,"SPO2581","DNA-binding protein, putative","SPO_RS13095",0,0,0.12
"SPO2582",1,0.045,1,0.026,0.97,0.044,1,0.039,"SPO2582","hypothetical protein","SPO_RS13100",0,-0.044,0
"SPO2583",1,0.024,0.99,0.042,1.1,0.019,1,0.018,"SPO2583","amidase family protein","SPO_RS13105",-0.014,0.14,0
"SPO2584",0.95,0.051,0.93,0.032,0.87,0.022,0.91,0.07,"SPO2584","glyoxalase family protein","SPO_RS13110",-0.03,-0.13,-0.061
"SPO2586",1,0.029,0.92,0.022,0.98,0.021,1,0.027,"SPO2586","type I secretion target repeat protein","SPO_RS13120",-0.12,-0.029,0
"SPO2587",0.87,0.17,1,0.14,1,0.1,1,0.14,"mrca","penicillin-binding protein 1A","SPO_RS13125",0.2,0.2,0.2
"SPO2588",1,0.025,1,0.043,0.97,0.028,0.98,0.099,"SPO2588","N-acetylmuramoyl-L-alanine amidase, family 3","SPO_RS13130",0,-0.044,-0.029
"SPO2589",0.92,0.088,0.56,0.22,0.97,0.051,0.86,0.079,"SPO2589","aminotransferase, classes I and II","SPO_RS13135",-0.71,0.076,-0.096
"SPO2590",0.95,0.077,0.92,0.03,0.98,0.064,0.95,0.11,"SPO2590","peptidase, M48 family","SPO_RS13140",-0.046,0.044,0
"SPO2591",0.96,0.099,1.1,0.061,0.92,0.15,1.1,0.03,"SPO2591","27 kDa outer membrane protein, putative","SPO_RS13145",0.19,-0.061,0.19
"SPO2592",1,0.064,0.98,0.065,0.82,0.27,1,0.1,"SPO2592","beta-lactamase, putative","SPO_RS13150",-0.029,-0.28,0
"SPO2597",1.2,0.23,1.1,0.22,1.1,0.19,1.1,0.16,"SPO2597","peptidase, M20/M25/M40 family","SPO_RS13175",-0.12,-0.12,-0.12
"SPO2598",0.99,0.043,1.1,0.049,0.98,0.009,0.98,0.063,"SPO2598","hypothetical protein","SPO_RS13180",0.15,-0.014,-0.014
"SPO2601",1.2,0.11,1.1,0.072,1,0.13,1,0.13,"SPO2601","pirin domain protein","SPO_RS13195",-0.12,-0.26,-0.26
"SPO2602",1,0.11,1,0.045,0.87,0.29,0.72,0.28,"SPO2602","transcriptional regulator, RpiR family","SPO_RS13200",0,-0.2,-0.47
"SPO2603",1.1,0.065,1.1,0.052,1.1,0.04,1.1,0.061,"SPO2603","N-formylglutamate amidohydrolase family protein","SPO_RS13205",0,0,0
"SPO2604",1,0.048,1,0.1,1,0.04,1.1,0.051,"SPO2604","hypothetical protein","SPO_RS13210",0,0,0.14
"SPO2605",0.92,0.067,0.95,0.05,0.98,0.032,0.99,0.025,"SPO2605","TRAP dicarboxylate transporter, DctM subunit","SPO_RS13215",0.046,0.09,0.1
"SPO2606",1,0.015,0.94,0.034,0.98,0.045,0.9,0.06,"SPO2606","bacterial extracellular solute-binding protein, family 7","SPO_RS13220",-0.088,-0.029,-0.15
"SPO2607",1,0.034,1.1,0.019,1,0.022,1,0.048,"SPO2607","gamma-glutamylisopropylamide synthetase, putative","SPO_RS13225",0.14,0,0
"SPO2608",0.99,0.028,0.85,0.045,0.96,0.034,0.96,0.02,"SPO2608","aldehyde dehydrogenase, putative","SPO_RS13230",-0.22,-0.044,-0.044
"SPO2609",0.94,0.062,0.94,0.048,0.94,0.024,1,0.025,"SPO2609","alcohol dehydrogenase, iron-containing","SPO_RS13235",0,0,0.088
"SPO2610",1.1,0.064,1.1,0.051,1,0.062,1,0.031,"SPO2610","hypothetical protein","SPO_RS13240",0,-0.14,-0.14
"SPO2612",1.1,0.027,1.1,0.013,1,0.02,1.1,0.03,"SPO2612","DNA-binding protein HU, putative","",0,-0.14,0
"SPO2613",1,0.092,0.86,0.072,0.9,0.047,0.8,0.071,"lon","ATP-dependent protease La","SPO_RS13255",-0.22,-0.15,-0.32
"SPO2614",1,0.038,1,0.03,1.1,0.032,1.1,0.057,"SPO2614","hypothetical protein","SPO_RS13260",0,0.14,0.14
"SPO2615",1,0.022,1,0.022,1,0.021,1,0.015,"SPO2615","NADH-dependent flavin oxidoreductase, Oye family","SPO_RS13265",0,0,0
"SPO2616",0.84,0.054,0.97,0.038,0.94,0.066,0.82,0.086,"tgt","queuine tRNA-ribosyltransferase","SPO_RS13270",0.21,0.16,-0.034
"SPO2617",0.95,0.03,1,0.027,1,0.008,1,0.021,"SPO2617","SPFH domain/band 7 family protein","SPO_RS13275",0.073,0.073,0.073
"SPO2621",0,NA,0,NA,0.26,0.26,0,NA,"tpiA","triosephosphate isomerase","SPO_RS13295",0,4.8,0
"SPO2622",1.1,0.041,1,0.045,1.1,0.051,1.1,0.053,"SPO2622","acetyltransferase, GNAT family","SPO_RS13300",-0.14,0,0
"SPO2623",0.98,0.068,1,0.021,0.98,0.051,0.91,0.043,"SPO2623","transporter, LysE family","SPO_RS13305",0.029,0,-0.11
"SPO2624",1,0.17,1.1,0.036,1,0.1,1,0.14,"SPO2624","transcriptional regulator, AsnC family","SPO_RS13310",0.14,0,0
"SPO2625",1.2,0.22,0.75,0.22,1,0.16,1,0.42,"SPO2625","hypothetical protein","",-0.67,-0.26,-0.26
"SPO2626",1.1,0.034,1,0.051,1.1,0.026,1,0.034,"SPO2626","TRAP transporter, DctM subunit","SPO_RS13320",-0.14,0,-0.14
"SPO2627",1.1,0.047,0.94,0.056,0.97,0.05,0.67,0.23,"SPO2627","TRAP transporter, DctQ subunit","SPO_RS13325",-0.22,-0.18,-0.71
"SPO2628",0.98,0.057,0.96,0.047,0.97,0.007,0.91,0.037,"SPO2628","TRAP transporter solute receptor, DctP family","SPO_RS13330",-0.029,-0.015,-0.11
"SPO2629",1.1,0.046,1,0.099,1.1,0.072,1.1,0.082,"SPO2629","C4-dicarboxylate transport transcriptional regulatory protein","SPO_RS13335",-0.14,0,0
"SPO2630",1.2,0.026,1,0.021,1.1,0.055,1.1,0.018,"SPO2630","C4-dicarboxylate transport sensor protein","SPO_RS13340",-0.26,-0.12,-0.12
"SPO2632",0.12,0.074,0.39,0.18,0.28,0.044,0.37,0.083,"cobA-1","uroporphyrin-III C-methyltransferase","SPO_RS13350",1.6,1.2,1.5
"SPO2633",0,0,0.22,0.22,0,0,0.71,0.24,"SPO2633","hypothetical protein","SPO_RS13355",4.5,0,6.2
"SPO2634",0,0,0.27,0.16,0,0,0.59,0.086,"SPO2634","sulfite reductase, putative","SPO_RS13360",4.8,0,5.9
"SPO2635",0,0,0.79,0.091,0.17,0.17,0.52,0.18,"cysH","phosophoadenylyl-sulfate reductase","SPO_RS13365",6.3,4.2,5.7
"SPO2639",1.1,0.15,0.77,0.12,1,0.075,0.94,0.066,"SPO2639","molybdopterin biosynthesis protein","SPO_RS13385",-0.51,-0.14,-0.22
"SPO2640",0.96,0.045,0.88,0.041,0.98,0.065,0.93,0.077,"SPO2640","XdhC/CoxI family protein","SPO_RS13390",-0.12,0.029,-0.045
"SPO2641",1,0.067,1,0.067,0.84,0.095,1,0.051,"SPO2641","hypothetical protein","SPO_RS13395",0,-0.25,0
"SPO2642",0.84,0.12,0.84,0.042,0.9,0.058,0.71,0.1,"SPO2642","YeeE/YedE family protein","SPO_RS13400",0,0.098,-0.24
"SPO2643",1.1,0.23,1.2,0.18,1.1,0.29,1.3,0.32,"SPO2643","hypothetical protein","SPO_RS13405",0.12,0,0.24
"SPO2644",0.86,0.11,0.9,0.035,0.84,0.035,0.79,0.082,"SPO2644","VWA domain containing CoxE-like family protein","SPO_RS13410",0.065,-0.034,-0.12
"SPO2645",0.8,0.15,0.93,0.12,0.8,0.15,0.91,0.19,"SPO2645","protease, S2 family","SPO_RS22260",0.21,0,0.18
"SPO2646",1.1,0.045,1,0.032,0.99,0.057,1,0.045,"SPO2646","hypothetical protein","SPO_RS13420",-0.14,-0.15,-0.14
"SPO2647",1.1,0.048,0.99,0.044,0.97,0.03,0.98,0.041,"SPO2647","hypothetical protein","SPO_RS13425",-0.15,-0.18,-0.17
"SPO2648",0.47,0.47,0.44,0.44,0.64,0.32,0.48,0.48,"SPO2648","hypothetical protein","SPO_RS13430",-0.093,0.44,0.03
"SPO2649",1.1,0.04,1.1,0.026,1,0.017,1,0.022,"SPO2649","hypothetical protein","SPO_RS13435",0,-0.14,-0.14
"SPO2650",0.54,0.19,0.68,0.23,0.91,0.14,1,0.095,"SPO2650","methyltransferase, FkbM family","SPO_RS13440",0.33,0.74,0.88
"SPO2651",0.89,0.056,0.99,0.06,0.9,0.061,1,0.05,"SPO2651","glycosyl transferase, group 2 family protein","SPO_RS13445",0.15,0.016,0.17
"SPO2652",1.1,0.1,0.7,0.24,1,0.03,0.91,0.089,"SPO2652","hypothetical protein","SPO_RS13450",-0.64,-0.14,-0.27
"SPO2652a",0.92,0.052,0.98,0.032,0.97,0.036,0.97,0.025,"SPO2652a","Polyketide cyclase","SPO_RS13455",0.09,0.076,0.076
"SPO2653",0.16,0.096,0,0,0.11,0.11,0.34,0.22,"pyrC","Dihydroorotase (EC 3.5.2.3)","SPO_RS13460",-4.1,-0.5,1
"SPO2654",0,0,0.28,0.16,0.17,0.1,0.73,0.04,"pyrE","orotate phosphoribosyltransferase","SPO_RS13465",4.9,4.2,6.2
"SPO2656",1,0.03,1,0.041,1,0.036,1,0.021,"SPO2656","transcriptional regulator, LysR family","SPO_RS13475",0,0,0
"SPO2657",0.9,0.11,0.73,0.13,0.89,0.098,0.81,0.19,"cuyA2","L-cysteate sulfolyase family","SPO_RS13480",-0.3,-0.016,-0.15
"SPO2658",0.53,0.34,0.79,0.074,1,0.18,1.1,0.072,"SPO2658","cysteate ABC transporter, periplasmic substrate-binding protein ","SPO_RS13485",0.57,0.9,1
"SPO2659",0.89,NA,0.88,0.14,0.87,NA,0.86,NA,"SPO2659","cysteate ABC transporter, permease protein ","SPO_RS13490",-0.016,-0.032,-0.049
"SPO2661",0.97,0.12,0.99,0.15,0.88,0.055,1,0.06,"SPO2661","cysteate ABC transporter, ATP-binding protein ","SPO_RS13500",0.029,-0.14,0.044
"SPO2662",0.8,0.043,0.96,0.026,0.88,0.051,0.77,0.14,"SPO2662","aspartate racemase, putative","SPO_RS13505",0.26,0.14,-0.054
"SPO2663",0.84,0.1,0.73,0.28,0.8,0.12,0.7,0.23,"aspA","aspartate ammonia-lyase","SPO_RS13510",-0.2,-0.07,-0.26
"SPO2664",0.89,0.49,0.93,0.49,1,0.039,0.95,0.033,"SPO2664","polar amino acid uptake family ABC transporter, ATP-binding protein","SPO_RS13515",0.063,0.17,0.093
"SPO2665",0.77,0.095,0.59,0.28,1,0.14,0.87,0.17,"SPO2665","polar amino acid uptake family ABC transporter, permease protein","SPO_RS13520",-0.38,0.37,0.17
"SPO2666",0.89,0.059,0.75,0.089,0.89,0.043,0.67,0.053,"SPO2666","polar amino acid uptake family ABC transporter, permease protein","SPO_RS13525",-0.24,0,-0.4
"SPO2667",0.99,0.082,0.92,0.058,0.98,0.04,0.9,0.025,"SPO2667","polar amino acid uptake family ABC transporter, periplasmic substrate-binding protein","SPO_RS13530",-0.1,-0.014,-0.14
"SPO2668",0.85,0.08,1,0.065,0.94,0.056,0.99,0.052,"SPO2668","transcriptional regulator, LysR family","SPO_RS13535",0.23,0.14,0.22
"SPO2669",1.1,0.06,1.1,0.053,1,0.035,1,0.044,"SPO2669","oxidoreductase, 2OG-Fe(II) oxygenase family","SPO_RS13540",0,-0.14,-0.14
"SPO2670",1.1,0.07,1.1,0.027,1.1,0.043,1,0.029,"alr","alanine racemase","SPO_RS13545",0,0,-0.14
"SPO2671",1.1,0.043,1.1,0.036,1,0.034,0.94,0.065,"SPO2671","membrane protein","SPO_RS13550",0,-0.14,-0.22
"SPO2673",0.93,0.063,0.96,0.062,0.99,0.072,0.97,0.042,"SPO2673","paraquat-inducible protein A, putative","SPO_RS13560",0.045,0.089,0.06
"SPO2674",0.96,0.077,0.95,0.058,1,0.027,1,0.03,"radA","DNA repair protein RadA","SPO_RS13565",-0.015,0.058,0.058
"SPO2675",0.99,0.022,1,0.048,1,0.013,1,0.023,"SPO2675","CvpA family protein","SPO_RS13570",0.014,0.014,0.014
"SPO2677",0.28,0.087,0.64,0.045,0.36,0.038,0.57,0.1,"purF","amidophosphoribosyltransferase","SPO_RS13580",1.2,0.35,1
"SPO2679",0.53,0.53,0.66,0.15,0.74,0.037,0.71,0.37,"SPO2679","oxidoreductase, short-chain dehydrogenase/reductase family","SPO_RS13590",0.31,0.47,0.42
"SPO2680",1.3,0.2,1.4,0.2,1.4,0.19,1.3,0.056,"SPO2680","hypothetical protein","SPO_RS13595",0.11,0.11,0
"SPO2681",0.92,0.075,0.87,0.033,0.91,0.027,0.84,0.079,"tatC","twin-arginine translocation protein TatC","SPO_RS13600",-0.08,-0.016,-0.13
"SPO2685",0.47,0.3,0.68,0.34,0.19,0.19,0.64,0.32,"SPO2685","hypothetical protein","SPO_RS13620",0.52,-1.3,0.44
"SPO2687",0,0,0.42,0.42,0.47,0.47,0,0,"pcm-2","protein-L-isoaspartate O-methyltransferase","SPO_RS13630",5.4,5.6,0
"SPO2688",0.94,0.18,0.79,0.084,0.81,0.11,0.91,0.079,"surE","acid phosphatase SurE","SPO_RS13635",-0.25,-0.21,-0.046
"SPO2690",0.96,0.071,1,0.094,0.95,0.081,0.98,0.036,"SPO2690","hypothetical protein","SPO_RS13645",0.058,-0.015,0.029
"SPO2691",0.95,0.041,0.96,0.039,0.99,0.052,0.89,0.02,"SPO2691","hypothetical protein","SPO_RS13650",0.015,0.059,-0.093
"SPO2692",0.95,0.042,0.95,0.047,0.96,0.045,0.94,0.041,"SPO2692","oxidoreductase, short chain dehydrogenase/reductase family","SPO_RS13655",0,0.015,-0.015
"SPO2693",0.85,0.065,0.94,0.068,0.98,0.04,0.89,0.089,"SPO2693","hypothetical protein","SPO_RS13660",0.14,0.2,0.066
"SPO2694",1,0.099,0.58,0.22,1.1,0.091,0.53,0.27,"SPO2694","cytochrome c'","SPO_RS13665",-0.78,0.14,-0.9
"SPO2695",0.33,0.19,0.56,0.21,0.56,0.19,0.68,0.23,"SPO2695","peptide chain release factor 3","SPO_RS13670",0.75,0.75,1
"SPO2696",1,0.076,1,0.11,1,0.067,0.99,0.019,"SPO2696","beta-lactamase, putative","SPO_RS13675",0,0,-0.014
"SPO2697",0.95,0.036,0.92,0.031,0.92,0.016,0.93,0.059,"SPO2697","acyl-CoA synthetase, putative","SPO_RS13680",-0.046,-0.046,-0.03
"SPO2698",0.86,0.07,0.87,0.087,0.89,0.043,0.76,0.083,"SPO2698","acyl-CoA dehydrogenase family protein","SPO_RS13685",0.016,0.049,-0.18
"SPO2699",0.81,0.4,0.78,0.073,0.79,0.073,0.63,0.32,"SPO2699","possible carnitine uptake; opine/polyamine transporter, permease","SPO_RS13690",-0.054,-0.036,-0.36
"SPO2700",0.6,0.23,0.64,0.23,0.82,0.037,0.63,0.25,"SPO2700","possible carnitine uptake; opine/polyamine transporter, permease","SPO_RS13695",0.092,0.44,0.069
"SPO2701",0.95,0.035,0.91,0.048,0.94,0.025,0.96,0.029,"SPO2701","possible carnitine uptake; opine/polyamine transporter, periplasmic binding protein","SPO_RS13700",-0.061,-0.015,0.015
"SPO2702",0.22,0.22,0.64,0.32,0.61,0.32,0.62,0.31,"SPO2702","possible carnitine uptake; opine/polyamine transporter, ATP binding protein","SPO_RS13705",1.5,1.4,1.5
"SPO2703",1.1,0.024,0.99,0.048,0.93,0.073,1,0.064,"SPO2703","hypothetical protein","SPO_RS13710",-0.15,-0.24,-0.14
"SPO2704",0.98,0.018,0.85,0.13,1,0.044,1,0.053,"SPO2704","possible carnitine degradation regulator","SPO_RS13715",-0.2,0.029,0.029
"SPO2705",1.1,NA,NA,NA,0.92,NA,NA,NA,"SPO2705","carnitine 3-dehydrogenase","SPO_RS13720",NA,-0.26,NA
"SPO2707",1.2,0.058,0.51,0.51,1.1,0.087,1.1,0.099,"SPO2707","flavin dependent oxidoreductase","SPO_RS13730",-1.2,-0.12,-0.12
"SPO2708",1.1,0.052,0.95,0.048,0.99,0.057,0.96,0.082,"SPO2708","carnitine dehydratase","SPO_RS13735",-0.21,-0.15,-0.19
"SPO2709",0.92,0.18,1,0.095,1,0.097,0.8,0.29,"SPO2709","endoribonuclease L-PSP, putative","SPO_RS13740",0.12,0.12,-0.2
"SPO2710",0.98,0.071,0.92,0.15,0.96,0.14,1,0.079,"SPO2710","3-oxoadipate enol-lactonase family protein","SPO_RS13745",-0.09,-0.029,0.029
"SPO2711",1,0.042,1.1,0.043,0.96,0.042,0.96,0.031,"caiB","Crotonobetainyl-CoA:carnitine CoA-transferase CaiB","SPO_RS13750",0.14,-0.058,-0.058
"SPO2712",0.87,0.055,0.84,0.16,0.88,0.067,0.33,0.33,"SPO2712","hypothetical protein","SPO_RS13755",-0.05,0.016,-1.4
"SPO2713",0.97,0.074,0.91,0.097,0.73,0.043,0.82,0.12,"secA2","Protein translocase subunit SecA 2","SPO_RS13760",-0.091,-0.41,-0.24
"SPO2714",0.96,0.098,0.93,0.13,1,0.046,0.82,0.089,"SPO2714","peptidase, M50 family","SPO_RS13765",-0.045,0.058,-0.22
"SPO2715",1.1,0.057,0.98,0.045,1.1,0.022,0.99,0.054,"SPO2715","GAF domain protein","SPO_RS13770",-0.17,0,-0.15
"SPO2716",0.96,0.011,0.96,0.024,0.98,0.017,0.96,0.011,"SPO2716","type I secretion target repeat protein","SPO_RS13775",0,0.029,0
"SPO2717",0.94,0.03,0.88,0.022,0.95,0.022,0.92,0.056,"SPO2717","SapC protein, putative","SPO_RS13780",-0.094,0.015,-0.031
"SPO2718",0.92,0.051,0.87,0.075,0.89,0.022,0.86,0.16,"SPO2718","hypothetical protein","SPO_RS13785",-0.08,-0.047,-0.096
"SPO2719",1,NA,1,0.12,0.9,0.17,1.2,0.081,"SPO2719","hypothetical protein","SPO_RS13790",0,-0.15,0.26
"SPO2720",0.97,0.051,1,0.029,0.92,0.013,0.96,0.033,"SPO2720","hypothetical protein","",0.044,-0.076,-0.015
"SPO2721",1.1,0.072,1.2,0.046,1,0.069,1.1,0.13,"SPO2721","hypothetical protein","SPO_RS13805",0.12,-0.14,0
"SPO2722",1.2,0.058,1.1,0.015,0.98,0.2,0.98,0.12,"SPO2722","hypothetical protein","SPO_RS13810",-0.12,-0.29,-0.29
"SPO2723",0.99,0.011,0.98,0.012,0.99,0.009,0.98,0.023,"SPO2723","hypothetical protein","SPO_RS13815",-0.014,0,-0.014
"SPO2724",0.73,NA,1.1,NA,0,NA,0,NA,"SPO2724","hypothetical protein","SPO_RS13825",0.58,-6.2,-6.2
"SPO2726",0.98,0.046,0.93,0.031,0.98,0.046,1,0.005,"SPO2726","hypothetical protein","SPO_RS13840",-0.075,0,0.029
"SPO2731",0.93,0.02,0.94,0.017,0.96,0.015,0.95,0.021,"SPO2731","ISSpo7, transposase","SPO_RS22590",0.015,0.045,0.03
"SPO2733",1,0.024,1,0.028,0.98,0.018,0.98,0.004,"hsdM","type I restriction-modification system, M subunit","SPO_RS13880",0,-0.029,-0.029
"SPO2734",1,0.032,1,0.008,1,0.021,1,0.01,"hsdS","type I restriction-modification system, S subunit","SPO_RS13885",0,0,0
"SPO2735",0.98,0.016,0.98,0.017,0.95,0.02,0.95,0.021,"hsdR","type I restriction-modification system, R subunit","SPO_RS13890",0,-0.044,-0.044
"SPO2736",0.93,0.035,1,0.058,1,0.039,0.97,0.059,"SPO2736","hypothetical protein","SPO_RS13900",0.1,0.1,0.06
"SPO2738",1.1,0.045,0.49,0.29,1,0.073,1.1,0.079,"SPO2738","lipoprotein, putative","SPO_RS13910",-1.2,-0.14,0
"SPO2739",0,NA,0,NA,0.76,NA,0,NA,"SPO2739","D-alanyl-D-alanine carboxypeptidase","SPO_RS13915",0,6.3,0
"SPO2742",0.86,0.064,0.81,0.09,0.93,0.026,0.9,0.081,"SPO2742","hydrolase, TatD family","SPO_RS13930",-0.085,0.11,0.065
"SPO2743",0.82,0.049,0.93,0.041,0.97,0.04,0.9,0.071,"SPO2743","hypothetical protein","SPO_RS13935",0.18,0.24,0.13
"SPO2744",0.74,0.035,0.73,0.025,0.93,0.023,0.91,0.053,"SPO2744","malonate transporter, putative","SPO_RS13940",-0.019,0.33,0.29
"SPO2746",1.1,0.041,1.1,0.023,1,0.023,1.1,0.024,"SPO2746","hypothetical protein","SPO_RS13950",0,-0.14,0
"SPO2747",0.96,0.027,0.86,0.061,0.85,0.067,0.94,0.077,"SPO2747","diguanylate cyclase, putative","SPO_RS13955",-0.16,-0.17,-0.03
"SPO2748",0.85,0.11,0.9,0.023,0.67,0.23,0.92,0.019,"SPO2748","hypothetical protein","SPO_RS13960",0.082,-0.34,0.11
"SPO2749",0.61,0.18,0.61,0.14,0,NA,0.5,0.5,"SPO2749","hypothetical protein","SPO_RS13965",0,-6,-0.28
"SPO2750",0.99,0.033,0.98,0.048,1,0.045,1,0.034,"SPO2750","trimethylamine methyltransferase family protein","SPO_RS13970",-0.014,0.014,0.014
"SPO2751",1.2,0.089,1,0.11,1,0.042,1.1,0.042,"SPO2751","HAD-superfamily hydrolase, subfamily IA, variant 1 family protein","SPO_RS13975",-0.26,-0.26,-0.12
"SPO2752",1,0.084,0.83,0.043,0.92,0.06,0.99,0.071,"SPO2752","hypothetical protein","SPO_RS13980",-0.27,-0.12,-0.014
"SPO2753",0.73,0.063,0.87,0.048,0.93,0.018,0.93,0.038,"SPO2753","diguanylate cyclase, putative/response regulator","SPO_RS13985",0.25,0.35,0.35
"SPO2755",0.94,0.083,0.6,0.15,0.91,0.091,0.5,0.21,"SPO2755","hypothetical protein","SPO_RS13995",-0.64,-0.046,-0.9
"SPO2756",1,0.06,0.99,0.077,0.97,0.075,1,0.075,"SPO2756","RNA polymerase sigma-70 factor, ECF family","SPO_RS14000",-0.014,-0.044,0
"SPO2757",0.92,0.081,0.96,0.035,1,0.071,1,0.061,"SPO2757","EF hand domain protein","SPO_RS14005",0.061,0.12,0.12
"SPO2758",0.93,0.12,1,0.043,0.89,0.065,1.1,0.058,"SPO2758","hypothetical protein","SPO_RS14010",0.1,-0.063,0.24
"SPO2759",0.94,0.14,0.94,0.08,0.98,0.051,1.1,0.11,"SPO2759","hydrolase, NUDIX family","SPO_RS14015",0,0.06,0.22
"SPO2760",0.98,0.018,1,0.016,0.98,0.028,1,0.018,"SPO2760","metallo-beta-lactamase family protein","SPO_RS14020",0.029,0,0.029
"SPO2763",0,NA,0,NA,0,NA,0,NA,"nuoN","NADH dehydrogenase I, N subunit","SPO_RS14035",0,0,0
"SPO2768",0.69,0.25,0.67,0.092,0.54,0.18,0.52,0.21,"SPO2768","4-carboxymuconolactone decarboxylase, putative","SPO_RS14060",-0.042,-0.35,-0.4
"SPO2769",0.49,0.17,0.42,0.25,0.61,0.31,0.48,0.28,"SPO2769","hypothetical protein","SPO_RS14065",-0.22,0.31,-0.029
"SPO2771",0.21,0.21,0.52,0.3,0.59,0.22,0.45,0.26,"SPO2771","hypothetical protein","SPO_RS14075",1.3,1.4,1.1
"SPO2773",1.1,0.048,1.1,0.084,1.1,0.068,1.2,0.055,"SPO2773","lipoprotein, putative","SPO_RS14085",0,0,0.12
"SPO2775",0.78,0.13,0.95,0.071,0.91,0.051,1,0.1,"SPO2775","hypothetical protein","",0.28,0.22,0.35
"SPO2780",1.1,0.085,1,0.033,1.1,0.025,1,0.05,"nuoE","NADH:ubiquinone oxidoreductase 41 kD complex I subunit","SPO_RS14120",-0.14,0,-0.14
"SPO2787",0.4,0.4,0.85,0.12,0.58,0.31,0.44,0.26,"SPO2787","enoyl-CoA hydratase/isomerase family protein","SPO_RS14155",1.1,0.53,0.13
"SPO2788",1.1,0.073,0.75,0.46,0.92,0.048,0.89,0.12,"mvaB","hydroxymethylglutaryl-CoA lyase","SPO_RS14160",-0.55,-0.26,-0.3
"SPO2789",0.95,0.043,0.9,0.014,0.94,0.019,0.95,0.035,"mccA","methylcrotonyl-CoA carboxylase, alpha subunit","SPO_RS14165",-0.077,-0.015,0
"SPO2790",0.98,0.039,0.96,0.03,0.97,0.008,0.94,0.027,"mccB","methylcrotonyl-CoA carboxylase, beta subunit","SPO_RS14175",-0.029,-0.015,-0.06
"SPO2791",1.1,0.047,1.1,0.024,1.1,0.02,1,0.036,"acsA","acetyl-coenzyme A synthetase","SPO_RS14180",0,0,-0.14
"SPO2792",1.1,0.046,1.1,0.035,1.1,0.023,1,0.053,"ompW","outer membrane protein OmpW","SPO_RS14185",0,0,-0.14
"SPO2793",0.99,0.042,1.1,0.033,1,0.008,1.1,0.029,"ivD","isovaleryl-CoA dehydrogenase","SPO_RS14190",0.15,0.014,0.15
"SPO2795",0.92,0.017,0.8,0.077,0.88,0.039,0.79,0.07,"SPO2795","aminotransferase, DegT/DnrJ/EryC1/StrS family","SPO_RS14195",-0.2,-0.063,-0.22
"SPO2796",1.1,0.05,1.1,0.051,0.85,0.024,1,0.048,"gph-2","phosphoglycolate phosphatase","SPO_RS14200",0,-0.37,-0.14
"SPO2798",NA,NA,1.1,NA,NA,NA,NA,NA,"SPO2798","hypothetical protein","SPO_RS14210",NA,NA,NA
"SPO2799",0.34,0.34,0.76,0.095,0.46,0.26,0.42,0.42,"SPO2799","molybdenum cofactor biosynthesis protein A","SPO_RS14220",1.1,0.43,0.3
"SPO2801",1,0.072,1.1,0.088,0.97,0.042,1,0.049,"lpcC","lipopolysaccharide core biosynthesis mannosyltransferase","SPO_RS14230",0.14,-0.044,0
"SPO2802",1,0.017,0.97,0.069,1,0.04,0.98,0.061,"SPO2802","bmp family protein","SPO_RS14235",-0.044,0,-0.029
"SPO2803",1,0.026,0.93,0.071,0.92,0.079,0.84,0.12,"SPO2803","sugar ABC transporter, ATP-binding protein","SPO_RS14240",-0.1,-0.12,-0.25
"SPO2804",1.1,0.04,0.96,0.06,1,0.03,1.1,0.087,"SPO2804","sugar ABC transporter, permease protein","SPO_RS14245",-0.19,-0.14,0
"SPO2805",1,0.073,1.1,0.07,1.1,0.027,0.96,0.038,"SPO2805","sugar ABC transporter, permease protein","SPO_RS14250",0.14,0.14,-0.058
"SPO2806",1,0.05,1,0.036,1,0.03,0.98,0.029,"SPO2806","cytosine deaminase, putative","SPO_RS14255",0,0,-0.029
"SPO2807",0.96,0.02,0.96,0.042,0.97,0.015,0.97,0.054,"SPO2807","hypothetical protein","SPO_RS14260",0,0.015,0.015
"SPO2808",1.1,0.068,1.1,0.056,1.1,0.051,1.1,0.047,"SPO2808","amidohydrolase family protein","SPO_RS14265",0,0,0
"SPO2809",0.98,0.11,0.61,0.3,0.95,0.099,0.94,0.067,"SPO2809","amidohydrolase family protein","SPO_RS14270",-0.68,-0.044,-0.06
"SPO2810",1,0.028,1.1,0.011,1,0.017,1,0.037,"SPO2810","amidohydrolase family protein","SPO_RS14275",0.14,0,0
