spo,gene,funct,NCBI,meanW_rpomAlone,semW_rpomAlone,meanW_vib,semW_vib,meanW_mari,semW_mari,meanW_CC,semW_CC,Vib_fold_diff,pval_vib,padj_vib,Mari_fold_diff,pval_mari,padj_mari,CC_fold_diff,pval_cc,padj_cc
SPO2064,SPO2064,"phospholipase, patatin-like family",SPO_RS10470,1.03,0.02,1.08,0.04,1.05,0.04,1.03,0.04,0.068,0.1158,0.839901923,0.027,1.001,1,0,1.085,1
SPO2065,bdh-1,D-beta-hydroxybutyrate dehydrogenase,SPO_RS10475,0.99,0.04,1.09,0.05,1.1,0.02,1.02,0.02,0.14,0.1108,0.839901923,0.15,0.1184,0.863558513,0.043,1.0118,1
SPO2066,SPO2066,"ABC transporter, periplasmic substrate-binding protein",SPO_RS10480,0.6,0.25,0.58,0.26,0.9,0.08,0.34,0.21,-0.048,0.8592,1,0.58,0.3196,1,-0.8,0.4866,1
SPO2067,SPO2067,hypothetical protein,SPO_RS10485,0.97,0.1,0.98,0.07,0.99,0.05,1.09,0.05,0.015,1.0244,1,0.029,0.832,1,0.17,0.1706,0.918720346
SPO2068,SPO2068,"DNA-binding protein, putative",SPO_RS10490,0.96,0.02,0.98,0.03,0.98,0.01,0.99,0.04,0.029,0.827,1,0.029,0.299,1,0.044,0.7178,1
SPO2069,SPO2069,"benzoate-coenzyme A ligase, putative",SPO_RS10495,1.12,0.03,1,0.03,1,0.02,1.06,0.04,-0.16,0.032,0.342724638,-0.16,0,0,-0.079,0.992,1
SPO2070,SPO2070,DSBA-like thioredoxin family protein,SPO_RS10500,1,0.12,0.97,0.06,0.92,0.05,1.02,0.06,-0.044,0.8484,1,-0.12,0.7004,1,0.028,0.9968,1
SPO2071,SPO2071,"drug resistance transporter, Bcr/CflA subfamily",SPO_RS10505,1.14,0.05,1.02,0.05,1.08,0.01,1.05,0.02,-0.16,0.03,0.340563253,-0.077,0.2822,1,-0.12,0.1756,0.922200852
SPO2072,SPO2072,TPR domain protein,SPO_RS10510,0.93,0.05,1.03,0.04,1,0.01,0.97,0.05,0.15,0.476,1,0.1,0.4246,1,0.06,0.5886,1
SPO2073,SPO2073,hypothetical protein,SPO_RS10515,1.06,0.01,1.06,0.02,1.03,0.02,1.08,0.04,0,0,0,-0.041,0.0294,0.367871698,0.027,1.3448,1
SPO2074,mfd,transcription-repair coupling factor,SPO_RS10520,0.98,0.03,0.98,0.02,0.94,0.02,0.97,0.02,0,1.006,1,-0.06,0.45,1,-0.015,0.8504,1
SPO2075,SPO2075,hypothetical protein,SPO_RS10525,1.02,0.04,1.05,0.03,1.04,0.02,1.07,0.03,0.041,0.9902,1,0.028,1.023,1,0.068,0.0298,0.327571186
SPO2077,SPO2077,"twin-arginine translocation pathway signal sequence domain protein, putative",SPO_RS10535,0.82,0.07,1,0.1,0.98,0.05,1.06,0.16,0.28,0.2198,1,0.25,0.1994,1,0.37,0.1956,0.964854684
SPO2078,SPO2078,penicillin amidase family protein,SPO_RS10540,NA,NA,NA,NA,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPO2079,SPO2079,Na(+)/H(+) antiporter-like protein,SPO_RS10545,1.04,0.05,1.02,0.06,1.07,0.05,0.99,0.06,-0.028,0.2582,1,0.041,0.994,1,-0.07,0.11,0.764607042
SPO2080,hflX,GTP-binding protein HflX,SPO_RS10550,1.01,0.04,1.02,0.05,1.02,0.03,1.02,0.03,0.014,0.9976,1,0.014,1.0064,1,0.014,1.0032,1
SPO2081,hfq,RNA-binding protein Hfq,SPO_RS10555,0.67,0.04,0.88,0.04,0.83,0.05,0.75,0.04,0.39,0,0,0.3,0.086,0.788454808,0.16,0.21,0.972767669
SPO2082,trkH-2,Trk system potassium uptake protein TrkH,SPO_RS10560,1.09,NA,0.99,0.23,0.76,0.27,0,NA,-0.14,0.853,1,-0.51,0.5736,1,-6.8,0.8508,1
SPO2084,SPO2084,hypothetical protein,SPO_RS10570,0.97,0.03,1,0.06,0.95,0.02,1.04,0.02,0.044,0.9552,1,-0.03,0.5662,1,0.1,0.5656,1
SPO2086,ntrY,nitrogen regulation protein ntrY,SPO_RS10580,0.75,0.04,0.9,0.04,0.72,0.04,0.8,0.06,0.26,0,0,-0.058,0.6602,1,0.092,0.4732,1
SPO2087,ntrC,nitrogen regulation protein NtrC,SPO_RS10585,0.06,0.06,0.31,0.14,0.5,0.06,0.18,0.13,2.2,0.2594,1,2.9,0,0,1.4,0.7312,1
SPO2088,ntrB,nitrogen regulation protein NtrB,SPO_RS10590,0.34,0.21,0.42,0.26,0.31,0.18,0.09,0.09,0.3,0.6672,1,-0.13,1.0038,1,-1.8,0.1434,0.83493913
SPO2089,nifR3,tRNA-dihydrouridine synthase B,SPO_RS10595,0.7,0.07,0.84,0.13,0.82,0.12,0.58,0.13,0.26,0.3418,1,0.23,0.4376,1,-0.27,0.5236,1
SPO2091,SPO2091,"phosphatidylglycerophosphatase, putative",SPO_RS10605,0.94,0.08,1.02,0.02,1.03,0.03,1.03,0.02,0.12,0.5042,1,0.13,0.3638,1,0.13,0.5146,1
SPO2092,SPO2092,competence/damage-inducible protein CinA domain protein,SPO_RS10610,1.1,0.17,1.11,0.1,1.06,0.12,1.14,0.17,0.013,1,1,-0.053,1.0342,1,0.051,0.9968,1
SPO2093,amt-1,ammonium transporter,SPO_RS10615,0.94,0.18,0.93,0.1,0.94,0.11,1.02,0.11,-0.015,1.0166,1,0,0.9124,1,0.12,0.7656,1
SPO2094,SPO2094,actC domain protein,SPO_RS10620,1.01,0.04,0.94,0.07,1,0.03,0.82,0.08,-0.1,0.423,1,-0.014,1.0078,1,-0.3,0.0868,0.704954447
SPO2095,SPO2095,MmgE/PrpD family protein,SPO_RS10625,1.12,0.09,1.02,0.06,1.03,0.06,1,0.11,-0.13,0.369,1,-0.12,0.3396,1,-0.16,0.5552,1
SPO2096,SPO2096,aromatic-rich family protein,SPO_RS10630,1.11,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,-0.3,0.858,1
SPO2097,hpt,hypoxanthine phosphoribosyltransferase,SPO_RS10635,1.01,0.04,0.89,0.04,1.04,0.04,1.02,0.04,-0.18,0.2046,1,0.042,1.004,1,0.014,0.9904,1
SPO2098,SPO2098,"transcriptional regulator, LysR family",SPO_RS10640,1.04,0.05,0.89,0.08,0.9,0.09,1.05,0.08,-0.22,0.2972,1,-0.21,0.546,1,0.014,1.2048,1
SPO2099,cycF,cytochrome c-554,SPO_RS10645,1.07,0.01,0.96,0.07,1,0.01,1,0.03,-0.15,0,0,-0.097,0.0266,0.367871698,-0.097,0,0
SPO2100,cycG,diheme cytochrome c-type,SPO_RS10650,0.95,0.06,1.02,0.04,0.98,0.03,1,0.04,0.1,0.4398,1,0.044,0.4608,1,0.073,0.5192,1
SPO2101,SPO2101,amidohydrolase family protein,SPO_RS10655,0.99,0.02,0.95,0.01,0.93,0.03,0.96,0.04,-0.059,0.2558,1,-0.089,0.084,0.788454808,-0.044,0.5568,1
SPO2103,SPO2103,"antioxidant, AhpC/Tsa family",SPO_RS10665,1.06,0.03,1.09,0.03,1.06,0.01,1.06,0.02,0.04,1.0062,1,0,0,0,0,0,0
SPO2104,SPO2104,hypothetical protein,SPO_RS10670,0.91,0.07,0.96,0.04,1,0.04,0.95,0.03,0.076,0.5326,1,0.13,0.2348,1,0.061,0.623,1
SPO2105,SPO2105,"transcriptional regulator, LysR family",SPO_RS10675,0.99,0.08,0.95,0.04,0.96,0.04,0.93,0.05,-0.059,0.602,1,-0.044,0.711,1,-0.089,0.5704,1
SPO2106,SPO2106,hypothetical protein,SPO_RS10680,0.98,0.07,0.97,0.04,1.02,0.03,1.02,0.02,-0.015,1.0064,1,0.057,0.6534,1,0.057,0.7258,1
SPO2107,SPO2107,hypothetical protein,SPO_RS10685,1.06,0.05,1.05,0.06,1.02,0.02,1.03,0.04,-0.014,0.2206,1,-0.055,0.1492,0.91598408,-0.041,0.1156,0.764607042
SPO2108,SPO2108,trimethylamine methyltransferase family protein,SPO_RS10690,1.08,0.01,1.08,0.02,1.08,0.02,1.06,0.02,0,1.572,1,0,0.9952,1,-0.027,0,0
SPO2110,SPO2110,hypothetical protein,SPO_RS10700,0.68,0.34,0.84,0.03,0.67,0.28,1.06,0.09,0.3,0.8678,1,-0.021,0.9948,1,0.63,0.1658,0.910903418
SPO2111,SPO2111,"outer membrane transporter, OMPP1/FadL/TodX family",SPO_RS10705,0.95,0.06,1.04,0.09,0.8,0.09,0.94,0.17,0.13,0.6122,1,-0.25,0.2032,1,-0.015,0.9944,1
SPO2112,SPO2112,transmembrane drug/metabolite transporter family protein,SPO_RS10710,0.88,0.11,0.8,0.19,0.98,0.08,0.73,0.26,-0.14,0.6878,1,0.15,0.5098,1,-0.27,0.6932,1
SPO2116,SPO2116,DedA family protein,SPO_RS10730,1.03,0.05,0.97,0.05,0.98,0.03,0.94,0.04,-0.086,0.7346,1,-0.071,0.61,1,-0.13,0.2488,1
SPO2117,SPO2117,"disulfide bond formation protein, DsbB family",SPO_RS10735,0.88,0.08,0.92,0.07,0.64,0.23,0.81,0.09,0.063,0.4584,1,-0.45,0.421,1,-0.12,0.7452,1
SPO2118,SPO2118,"transcriptional regulator, AsnC family",SPO_RS10740,1.02,0.01,1.01,0.02,1,0.01,1.04,0.03,-0.014,0,0,-0.028,0.985,1,0.028,0.9912,1
SPO2119,rocF,arginase,SPO_RS10745,0.93,0.04,0.95,0.04,1.03,0.02,1,0.02,0.03,0.6558,1,0.15,0.2016,1,0.1,0.2052,0.964854684
SPO2120,SPO2120,amidinotransferase family protein,SPO_RS10750,1.11,0.05,1.11,0.03,1.06,0.03,1.06,0.03,0,1.0006,1,-0.066,0.1216,0.87047027,-0.066,0.9906,1
SPO2121,arcB,ornithine cyclodeaminase,SPO_RS10755,1.02,0.01,1,0.03,1.03,0.02,0.98,0.03,-0.028,0.4218,1,0.014,0.9972,1,-0.057,0.6274,1
SPO2122,phnA,alkylphosphonate utilization operon protein PhnA,SPO_RS10760,1.01,0.11,1.07,0.06,1.04,0.05,1.06,0.02,0.082,0.486,1,0.042,0.9892,1,0.069,0.9972,1
SPO2123,SPO2123,HNH endonuclease family protein,SPO_RS10765,1.03,0.1,1.02,0.07,1.02,0.05,1.02,0.06,-0.014,1.0104,1,-0.014,1.0888,1,-0.014,1.053,1
SPO2124,SPO2124,RNA pseudouridylate synthase,SPO_RS10770,0.98,0.08,0.98,0.03,1.01,0.07,1.06,0.12,0,1.0098,1,0.043,0.8134,1,0.11,0.4512,1
SPO2125,SPO2125,"acetyltransferase, GNAT family",SPO_RS10775,0.88,0.08,0.78,0.32,1.17,0.18,1.07,0.15,-0.17,0.6848,1,0.41,0.1768,1,0.28,0.29,1
SPO2127,SPO2127,"DNA-3-methyladenine glycosylase II, putative",SPO_RS10785,0.98,0.07,0.72,0.25,0.99,0.02,0.86,0.08,-0.44,0.3022,1,0.014,0.944,1,-0.19,0.3538,1
SPO2128,SPO2128,"transporter, putative",SPO_RS10790,0.9,0.07,0.89,0.07,0.96,0.04,0.95,0.07,-0.016,0.8416,1,0.092,0.6062,1,0.077,0.68,1
SPO2129,SPO2129,hypothetical protein,SPO_RS10795,0.94,0.2,0.9,0.31,0.85,0.28,0.6,0.1,-0.062,0.9672,1,-0.14,0.7726,1,-0.64,0.2252,1
SPO2130,SPO2130,2-isopropylmalate synthase/homocitrate synthase family protein,SPO_RS10800,1.02,0.03,1.04,0.02,1.02,0.02,1.02,0.02,0.028,1.0048,1,0,1.013,1,0,1.0796,1
SPO2132,aspC-3,aspartate aminotransferase,SPO_RS10810,1.05,0.03,1,0.01,1.03,0.02,1,0.03,-0.07,1.0146,1,-0.027,0.9848,1,-0.07,1.0896,1
SPO2133,SPO2133,"outer membrane protein, putative",SPO_RS10815,1.18,0.04,1.04,0.03,1.11,0.03,1.03,0.05,-0.18,0,0,-0.087,0.1168,0.863558513,-0.19,0,0
SPO2134,SPO2134,trimethylamine methyltransferase family protein,SPO_RS10820,0.98,0.05,0.98,0.05,1,0.02,0.95,0.03,0,0.9802,1,0.029,1.0432,1,-0.044,0.6152,1
SPO2135,SPO2135,hypothetical protein,SPO_RS10825,1.08,0.26,1.23,0.14,1.14,0.16,0.97,0.09,0.19,0.8248,1,0.077,1.0012,1,-0.15,0.5816,1
SPO2136,nrdJ,"ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent",SPO_RS10830,0.95,0.02,1.04,0.02,1.02,0.01,1.04,0.01,0.13,0.2638,1,0.1,0,0,0.13,0,0
SPO2137,SPO2137,"lipoprotein, putative",,1.01,0.03,0.83,0.13,1,0.08,0.81,0.05,-0.28,0.232,1,-0.014,1.0002,1,-0.31,0.0866,0.704954447
SPO2139,SPO2139,hypothetical protein,SPO_RS10845,1.01,0.11,0.81,0.16,1.1,0.05,1.08,0.04,-0.31,0.3858,1,0.12,0.502,1,0.096,0.507,1
SPO2140,SPO2140,cold shock DNA-binding domain protein,SPO_RS10850,1.07,0.06,1.04,0.04,1.06,0.04,1.03,0.03,-0.041,0.1194,0.840348571,-0.013,0.9834,1,-0.054,0.0852,0.704954447
SPO2142,fabI-2,enoyl-(acyl-carrier-protein) reductase,SPO_RS10860,0.86,0.08,1.01,0.08,0.94,0.05,0.97,0.08,0.23,0.2792,1,0.13,0.4676,1,0.17,0.3486,1
SPO2143,gpt,xanthine-guanine phosphoribosyltransferase,SPO_RS10865,0.68,0.23,0.86,0.16,0.96,0.06,0.98,0.03,0.33,0.592,1,0.49,0.3058,1,0.52,0.1958,0.964854684
SPO2144,SPO2144,"aminotransferase, classes I and II",SPO_RS10870,1.07,0.05,0.97,0.01,1.01,0.03,0.97,0.02,-0.14,0,0,-0.082,0.1206,0.868352621,-0.14,0,0
SPO2145,SPO2145,hypothetical protein,SPO_RS10875,0.07,0.05,0.32,0.15,0.19,0.08,0.46,0.1,2,0.1738,0.952805638,1.3,0.2072,1,2.6,0.0284,0.327571186
SPO2146,trpE,anthranilate synthase component I,SPO_RS10880,0.07,0.07,0.22,0.13,0.06,0.06,0.18,0.11,1.5,0.266,1,-0.19,0.4406,1,1.2,0.4386,1
SPO2147,SPO2147,hypothetical protein,SPO_RS22205,1.02,0.02,0.98,0.02,0.92,0.02,0.92,0.02,-0.057,0.701,1,-0.15,0.084,0.788454808,-0.15,0.0798,0.704954447
SPO2148,SPO2148,hypothetical protein,SPO_RS10890,1,0.02,1.05,0.05,1.01,0.04,1.04,0.02,0.07,0.1418,0.874424961,0.014,1.005,1,0.056,0.9944,1
SPO2149,trpG,anthranilate synthase component II,SPO_RS10895,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,2,1
SPO2150,trpD,anthranilate phosphoribosyltransferase,SPO_RS10900,0,0,0.11,0.11,0,0,0.04,0.04,3.6,0,0,0,2,1,2.3,0,0
SPO2151,trpC,indole-3-glycerol phosphate synthase,SPO_RS10905,0,0,0.2,0.2,0,0,0.16,0.16,4.4,0,0,0,2,1,4.1,0.9836,1
SPO2152,moaC,molybdenum cofactor biosynthesis protein C,SPO_RS10910,0.62,0.21,0.84,0.07,0.78,0.05,0.78,0.05,0.43,0.4918,1,0.33,0.7532,1,0.33,0.6872,1
SPO2153,moaA,molybdenum cofactor biosynthesis protein A,SPO_RS10915,0.83,0.06,0.97,0.05,0.86,0.06,0.82,0.04,0.22,0.1388,0.874424961,0.051,0.823,1,-0.017,0.8622,1
SPO2155,SPO2155,competence protein,SPO_RS10925,0.82,0.18,0.92,0.08,0.91,0.05,0.88,0.03,0.16,0.6584,1,0.15,0.7532,1,0.1,0.7234,1
SPO2156,gltX-2,glutamyl-tRNA synthetase,SPO_RS10930,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPO2157,gltA,citrate synthase I,SPO_RS10935,0.22,0.21,0,NA,0,NA,0,NA,-4.5,0.5766,1,-4.5,0.5638,1,-4.5,0.5784,1
SPO2158,SPO2158,hypothetical protein,SPO_RS22210,1.01,0.03,1,0.02,0.97,0.02,1.03,0.05,-0.014,1.0832,1,-0.058,0.4808,1,0.028,0.9994,1
SPO2159,SPO2159,radical SAM domain protein,SPO_RS10945,1.08,0.04,1.06,0.05,0.99,0.07,1.06,0.03,-0.027,0.9802,1,-0.12,0.2072,1,-0.027,0.1088,0.764607042
SPO2160,SPO2160,B12 cap/binding component of split MetH,SPO_RS10950,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,2,1
SPO2161,SPO2161,hypothetical protein,SPO_RS10955,1.07,0.03,1,0.01,0.99,0.02,1.03,0.02,-0.097,0,0,-0.11,0,0,-0.054,0,0
SPO2162,SPO2162,B12 reduction/reactivation protein,SPO_RS10960,NA,NA,NA,NA,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPO2163,SPO2163,hypothetical protein,SPO_RS10965,0.98,0.13,0.8,0.27,1.11,0.11,1.09,0.18,-0.29,0.7858,1,0.18,0.4642,1,0.15,0.5466,1
SPO2164,SPO2164,hypothetical protein,SPO_RS10970,1.06,0.05,1,0.02,0.97,0.04,1.01,0.04,-0.083,0.1438,0.874424961,-0.13,0.1124,0.863558513,-0.069,0.1184,0.767057443
SPO2166,SPO2166,"lipoprotein, putative",SPO_RS10980,1.08,0.03,1.07,0.04,1.06,0.02,1.05,0.04,-0.013,1.0002,1,-0.027,1.0104,1,-0.04,0,0
SPO2167,rnd,ribonuclease D,SPO_RS10985,0.94,0.03,1,0.03,0.97,0.01,0.96,0.03,0.088,0.2834,1,0.045,0.3068,1,0.03,0.4912,1
SPO2168,purN,phosphoribosylglycinamide formyltransferase,SPO_RS10990,0.21,0.12,0.64,0.04,0.27,0.16,0.49,0.11,1.6,0,0,0.35,0.4754,1,1.2,0.1142,0.764607042
SPO2169,purM,phosphoribosylformylglycinamidine cyclo-ligase,SPO_RS10995,0.26,0.26,0.51,0.26,0.16,0.16,0.15,0.15,0.95,0.3988,1,-0.67,0.5546,1,-0.75,0.8782,1
SPO2170,SPO2170,metallo-beta-lactamase family protein,SPO_RS11000,1.02,0.06,0.97,0.05,1,0.01,0.79,0.08,-0.072,0.7748,1,-0.028,0.9888,1,-0.36,0.088,0.704954447
SPO2171,SPO2171,"transcriptional regulator, LysR family",SPO_RS11005,1.08,0.06,1.01,0.06,1.07,0.03,1.09,0.03,-0.096,0.3154,1,-0.013,0.1822,1,0.013,0.9864,1
SPO2173,SPO2173,sensor histidine kinase,SPO_RS11015,0,0,0.13,0.13,0,0,0.35,0.26,3.8,0.7184,1,0,2,1,5.2,0.0258,0.327571186
SPO2174,SPO2174,metallo-beta-lactamase family protein,SPO_RS11020,0.82,0.32,0.94,0.06,1.06,0.1,0.86,0.29,0.19,0.6776,1,0.37,0.486,1,0.068,0.8984,1
SPO2176,SPO2176,hypothetical protein,SPO_RS11030,0.86,0.05,0.98,0.03,0.92,0.06,0.98,0.02,0.19,0.1164,0.839901923,0.096,0.4844,1,0.19,0.0768,0.686737046
SPO2177,acuC,acetoin utilization protein AcuC,SPO_RS11035,0.9,0.08,0.94,0.05,0.97,0.07,1.09,0.08,0.062,0.7118,1,0.11,0.6402,1,0.27,0.1422,0.83493913
SPO2178,SPO2178,cardiolipin synthase,SPO_RS11040,0.93,0.03,0.96,0.04,0.98,0.03,0.97,0.09,0.045,0.5124,1,0.075,0.3704,1,0.06,0.8118,1
SPO2180,SPO2180,hypothetical protein,SPO_RS11050,1.12,0.06,1.11,0.02,1.05,0.03,1.04,0.02,-0.013,0.9992,1,-0.092,0.2618,1,-0.11,0.264,1
SPO2182,SPO2182,"permease, putative",SPO_RS11060,0.9,0.1,0.78,0.06,0.89,0.08,0.99,0.08,-0.2,0.3558,1,-0.016,0.8132,1,0.14,0.439,1
SPO2183,SPO2183,hypothetical protein,SPO_RS11065,0.85,0.1,0.91,0.07,1.02,0.07,1.08,0.06,0.097,0.6492,1,0.26,0.3046,1,0.34,0.1108,0.764607042
SPO2184,SPO2184,hypothetical protein,SPO_RS22215,0.96,0.09,1.05,0.02,0.98,0.04,0.94,0.03,0.13,0.6586,1,0.029,0.8588,1,-0.03,0.9088,1
SPO2185,uspA,universal stress protein,SPO_RS11075,1.04,0.07,0.97,0.04,1.01,0.01,0.93,0.04,-0.1,0.497,1,-0.042,1.0036,1,-0.16,0.3962,1
SPO2186,SPO2186,"TRAP transporter, 4TM/12TM fusion protein",SPO_RS11080,1.02,0.03,1.07,0.04,1.04,0.01,1.01,0.03,0.068,0.9996,1,0.028,0.988,1,-0.014,1.085,1
SPO2187,SPO2187,"TRAP transporter solute receptor, TAXI family",SPO_RS11085,1.07,0.03,1.04,0.06,1.02,0.04,1,0.03,-0.041,0.9932,1,-0.068,0.0276,0.367871698,-0.097,0.0276,0.327571186
SPO2188,SPO2188,"acetyltransferase, GNAT family",SPO_RS11090,0.86,0.08,0.94,0.14,0.88,0.02,0.8,0.08,0.13,0.6844,1,0.033,0.8674,1,-0.1,0.6544,1
SPO2189,SPO2189,"transcriptional regulator, AsnC family",SPO_RS11095,0.91,0.03,0.98,0.01,0.93,0.04,0.94,0.05,0.11,0,0,0.031,0.6072,1,0.046,0.6684,1
SPO2190,hutC,histidine utilization repressor,SPO_RS11100,NA,NA,1.09,0.18,1.02,NA,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPO2191,hutI,imidazolonepropionase,SPO_RS11105,0.97,0.05,0.91,0.05,0.96,0.02,0.94,0.02,-0.091,0.4254,1,-0.015,0.815,1,-0.045,0.6354,1
SPO2192,hutH,histidine ammonia-lyase,SPO_RS11110,1.02,0.1,1,0.1,1,0.09,1.02,0.08,-0.028,1.0708,1,-0.028,0.8216,1,0,1.0742,1
SPO2192a,hutG,N-formylglutamate amidohydrolase,SPO_RS11115,0.9,0.07,0.97,0.03,0.95,0.02,0.96,0.05,0.11,0.6304,1,0.077,0.7322,1,0.092,1.0166,1
SPO2193,hutU,urocanate hydratase,SPO_RS11120,1.05,0.03,0.99,0.03,1.03,0.03,1.01,0.02,-0.084,0.029,0.340563253,-0.027,0.0302,0.367871698,-0.055,0,0
SPO2194,hutF,formiminoglutamate deiminase,SPO_RS11125,0.84,0.13,0.74,0.15,0.88,0.06,0.9,0.04,-0.18,0.578,1,0.066,0.8824,1,0.098,0.8734,1
SPO2195,SPO2195,amidohydrolase family protein,SPO_RS11130,1.02,0.08,0.94,0.07,0.96,0.06,0.9,0.06,-0.12,0.571,1,-0.087,0.807,1,-0.18,0.4612,1
SPO2196,SPO2196,diaminopropionate ammonia-lyase,SPO_RS11135,1.2,0.1,1.12,0.05,1.04,0.11,1.15,0.07,-0.099,0.9988,1,-0.2,0.54,1,-0.061,0.5592,1
SPO2197,SPO2197,hypothetical protein,SPO_RS11140,1.06,0.04,0.97,0.03,0.98,0.04,0.96,0.04,-0.13,0,0,-0.11,0.0316,0.367871698,-0.14,0,0
SPO2198,gap-3,"glyceraldehyde-3-phosphate dehydrogenase, type I",SPO_RS11145,0.19,0.11,0.29,0.14,0.33,0.14,0.71,0.1,0.58,0.664,1,0.77,0.4966,1,1.8,0.0296,0.327571186
SPO2201,SPO2201,CBS domain protein,SPO_RS11160,0.99,0.06,1.13,0.09,0,NA,0.47,0.47,0.19,0.4816,1,-6.6,0.0596,0.602839344,-1.1,0.2018,0.964854684
SPO2202,SPO2202,"transcriptional regulator, LysR family",SPO_RS11165,0.95,0.01,0.94,0.04,1,0.02,0.99,0.02,-0.015,0.895,1,0.073,0.3226,1,0.059,0.2254,1
SPO2203,mmsA,methylmalonate-semialdehyde dehydrogenase,SPO_RS11170,1.09,0.02,1.02,0.02,1,0.01,1.02,0.02,-0.095,0.0294,0.340563253,-0.12,0,0,-0.095,0,0
SPO2204,SPO2204,hypothetical protein,,0.78,0.42,0.92,0.35,1.1,0.16,0,0,0.24,0.6624,1,0.49,0.6536,1,-6.3,0.094,0.726238494
SPO2205,SPO2205,ErfK/YbiS/YcfS/YnhG family protein,SPO_RS11180,0.86,0.06,0.94,0.02,0.92,0.06,0.98,0.04,0.13,0.2214,1,0.096,0.52,1,0.19,0.1622,0.898057871
SPO2206,SPO2206,hypothetical protein,SPO_RS11185,1,0.02,0.65,0.24,1.01,0.05,0.98,0.08,-0.61,0.2856,1,0.014,0.6328,1,-0.029,1.0216,1
SPO2207,SPO2207,hypothetical protein,SPO_RS11190,0.89,0.05,0.88,0.06,0.88,0.15,0.9,0.04,-0.016,0.885,1,-0.016,0.8664,1,0.016,0.8578,1
SPO2208,SPO2208,hypothetical protein,SPO_RS11195,1.04,0.04,1,0.02,0.99,0.02,0.95,0.03,-0.056,0.6336,1,-0.07,0.4774,1,-0.13,0.3438,1
SPO2209,SPO2209,glutamate--cysteine ligase family protein,SPO_RS11200,1.02,0.02,1.05,0.03,0.99,0.02,1,0.04,0.041,1.0132,1,-0.043,0.9962,1,-0.028,1.0206,1
SPO2210,SPO2210,BNR/Asp-box repeat domain protein,SPO_RS11205,1,0,0.99,0.01,0.99,0.01,0.98,0,-0.014,0.1446,0.874424961,-0.014,0.431,1,-0.029,0,0
SPO2211,SPO2211,acyl-CoA dehydrogenase,SPO_RS11210,1.01,0.01,1.03,0.02,1.02,0.02,1.02,0.02,0.028,0.9992,1,0.014,0.9986,1,0.014,0.9906,1
SPO2212,SPO2212,enoyl-CoA hydratase/isomerase family protein,SPO_RS11215,1.02,0.06,0.95,0.07,1,0.03,0.99,0.06,-0.1,0.4812,1,-0.028,0.9948,1,-0.043,0.991,1
SPO2213,mmsB-1,3-hydroxyisobutyrate dehydrogenase,SPO_RS11220,1.08,0.03,1.05,0.05,1.02,0.04,1.04,0.04,-0.04,0.031,0.341925373,-0.082,0,0,-0.054,0.9946,1
SPO2213a,SPO2213a,hypothetical protein,SPO_RS11225,0.99,0.05,0.99,0.08,0.94,0.03,0.96,0.02,0,1.1804,1,-0.074,0.3308,1,-0.044,0.6332,1
SPO2214,betC-2,possible sulfatase for choline or related compound,SPO_RS11230,1.02,0.04,1.01,0.03,1.02,0.03,0.99,0.05,-0.014,0.7226,1,0,1.0096,1,-0.043,0.7684,1
SPO2215,SPO2215,glyoxalase family protein,SPO_RS11235,0.93,0.1,1.03,0.09,0.94,0.04,0.88,0.05,0.15,0.6206,1,0.015,1.0024,1,-0.079,0.7194,1
SPO2216,SPO2216,"DNA-binding protein, putative",SPO_RS11240,1.32,NA,1.87,NA,1.69,NA,NA,NA,0.5,1.4302,1,0.35,1.426,1,NA,NA,NA
SPO2218,uvrA,UvrABC system protein A,SPO_RS11250,1,0.02,1.02,0.03,0.99,0.01,1.06,0.02,0.028,0.8722,1,-0.014,0.4926,1,0.083,0,0
SPO2219,SPO2219,rhodanese-like domain protein,SPO_RS11255,0.98,0.13,1.06,0.08,0.96,0.05,0.92,0.08,0.11,0.3474,1,-0.029,0.7618,1,-0.09,0.7462,1
SPO2220,SPO2220,hypothetical protein,SPO_RS11260,0.95,0.02,0.96,0.03,0.92,0.02,0.94,0.03,0.015,1.0092,1,-0.046,0.3136,1,-0.015,0.8536,1
SPO2221,SPO2221,von Willebrand factor type A domain protein,,0.94,0.02,0.92,0.06,0.99,0.05,0.93,0.05,-0.031,0.5328,1,0.074,0.339,1,-0.015,0.8394,1
SPO2222,SPO2222,"pyruvate dehydrogenase complex, E3 component, lipoamide dehydrogenase, putative",SPO_RS11270,0.51,0.17,0.73,0.14,0.84,0.02,0.79,0.08,0.51,0.4082,1,0.71,0.0286,0.367871698,0.62,0.1088,0.764607042
SPO2223,SPO2223,hypothetical protein,SPO_RS11275,0.78,0.11,1.01,0.02,1,0.08,0.9,0.11,0.37,0.1416,0.874424961,0.35,0.1158,0.863558513,0.2,0.455,1
